
[*] b 766.250000 91.250000 1000.000000
Aresta no percurso em Largura Praca_Central2, VMi: 11.000000, VMf: 11000.000000
Aresta no percurso em Largura Young_Ct, VMi: 9.061208, VMf: 9061.208000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Young_St, VMi: 13.582038, VMf: 13582.038000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Zircon_Pl, VMi: 13.256210, VMf: 13256.210000
Aresta no percurso em Largura Zanowitz_Ave, VMi: 8.002245, VMf: 8002.245000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Zanowitz_St, VMi: 14.485750, VMf: 14485.750000
Aresta no percurso em Largura Yukon_St, VMi: 6.886794, VMf: 6886.794000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Zampa_Ln, VMi: 14.979432, VMf: 14979.432000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Perimetral_Sul, VMi: 18.000000, VMf: 18000.000000
Aresta no percurso em Largura Praca_Central2, VMi: 11.000000, VMf: 11000.000000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Young_St, VMi: 13.582038, VMf: 13582.038000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Zircon_Pl, VMi: 13.256210, VMf: 13256.210000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Zanowitz_St, VMi: 14.485750, VMf: 14485.750000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Zampa_Ln, VMi: 14.979432, VMf: 14979.432000
Aresta no percurso em Largura Young_Ct, VMi: 9.518176, VMf: 9518.176000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Perimetral_Sul, VMi: 18.000000, VMf: 18000.000000
Aresta no percurso em Largura Praca_Central2, VMi: 11.000000, VMf: 11000.000000
Aresta no percurso em Largura Yukon_St, VMi: 14.273895, VMf: 14273.895000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Young_St, VMi: 14.802950, VMf: 14802.950000
